quote_currency,ask_rate,ts,base_currency
USDT,77.3760535114,2023-05-13T03:59:59.999Z,RUB1
USDT,77.3780302613,2023-05-13T04:59:59.999Z,RUB1
USDT,77.380772644,2023-05-13T05:59:59.999Z,RUB1
USDT,77.3776641284,2023-05-13T06:59:59.999Z,RUB1
USDT,77.3782146848,2023-05-13T07:59:59.999Z,RUB1
USDT,77.3719556002,2023-05-13T08:59:59.999Z,RUB1
USDT,77.3746679927,2023-05-13T09:59:59.999Z,RUB1
USDT,77.3799218461,2023-05-13T10:59:59.999Z,RUB1
USDT,77.3798933188,2023-05-13T11:59:59.999Z,RUB1
USDT,77.3861451625,2023-05-13T12:59:59.999Z,RUB1
USDT,77.3871514475,2023-05-13T13:59:59.999Z,RUB1
USDT,77.3784321133,2023-05-13T14:59:59.999Z,RUB1
USDT,77.387379477,2023-05-13T15:59:59.999Z,RUB1
USDT,77.3799362882,2023-05-13T16:59:59.999Z,RUB1
USDT,77.3752518694,2023-05-13T17:59:59.999Z,RUB1
USDT,77.3849874963,2023-05-13T18:59:59.999Z,RUB1
USDT,77.3791082107,2023-05-13T19:59:59.999Z,RUB1
USDT,77.3769703795,2023-05-13T20:59:59.999Z,RUB1
USDT,77.3795727009,2023-05-13T21:59:59.999Z,RUB1
USDT,77.3858539001,2023-05-13T22:59:59.999Z,RUB1
USDT,77.3827400019,2023-05-13T23:59:59.999Z,RUB1
USDT,77.3722106397,2023-05-14T00:59:59.999Z,RUB1
USDT,77.3701158765,2023-05-14T01:59:59.999Z,RUB1
USDT,77.3689409759,2023-05-14T02:59:59.999Z,RUB1
USDT,77.3795841714,2023-05-14T03:59:59.999Z,RUB1
USDT,77.3641474182,2023-05-14T04:59:59.999Z,RUB1
USDT,77.3731053236,2023-05-14T05:59:59.999Z,RUB1
USDT,77.3767086361,2023-05-14T06:59:59.999Z,RUB1
USDT,77.3826673385,2023-05-14T07:59:59.999Z,RUB1
USDT,77.3775970265,2023-05-14T08:59:59.999Z,RUB1
USDT,77.3787098069,2023-05-14T09:59:59.999Z,RUB1
USDT,77.3773583297,2023-05-14T10:59:59.999Z,RUB1
USDT,77.3841552772,2023-05-14T11:59:59.999Z,RUB1
USDT,77.393490771,2023-05-14T12:59:59.999Z,RUB1
USDT,77.376964313,2023-05-14T13:59:59.999Z,RUB1
USDT,77.3805836991,2023-05-14T14:59:59.999Z,RUB1
USDT,77.3774297591,2023-05-14T15:59:59.999Z,RUB1
USDT,77.3893793786,2023-05-14T16:59:59.999Z,RUB1
USDT,77.3616249246,2023-05-14T17:59:59.999Z,RUB1
USDT,77.3794408223,2023-05-14T18:59:59.999Z,RUB1
USDT,77.3799499255,2023-05-14T19:59:59.999Z,RUB1
USDT,77.3640593606,2023-05-14T20:59:59.999Z,RUB1
USDT,77.3942815721,2023-05-14T21:59:59.999Z,RUB1
USDT,77.3827143098,2023-05-14T22:59:59.999Z,RUB1
USDT,77.3996790407,2023-05-14T23:59:59.999Z,RUB1
USDT,77.3979444986,2023-05-15T00:59:59.999Z,RUB1
USDT,77.3727767956,2023-05-15T01:59:59.999Z,RUB1
USDT,77.3792096993,2023-05-15T02:59:59.999Z,RUB1
USDT,77.7428187672,2023-05-15T03:59:59.999Z,RUB1
USDT,78.1371903203,2023-05-15T04:59:59.999Z,RUB1
USDT,78.1643908688,2023-05-15T05:59:59.999Z,RUB1
USDT,78.334274754,2023-05-15T06:59:59.999Z,RUB1
USDT,79.2377231508,2023-05-15T07:59:59.999Z,RUB1
USDT,79.0326532623,2023-05-15T08:59:59.999Z,RUB1
USDT,79.2410239804,2023-05-15T09:59:59.999Z,RUB1
USDT,79.4553814243,2023-05-15T10:59:59.999Z,RUB1
USDT,79.4235391664,2023-05-15T11:59:59.999Z,RUB1
USDT,77.387820425,2023-05-15T12:59:59.999Z,RUB1
USDT,79.6483830411,2023-05-15T13:59:59.999Z,RUB1
USDT,79.7295841965,2023-05-15T14:59:59.999Z,RUB1
USDT,79.6841412712,2023-05-15T15:59:59.999Z,RUB1
USDT,79.7064413102,2023-05-15T16:59:59.999Z,RUB1
USDT,79.8920617449,2023-05-15T17:59:59.999Z,RUB1
USDT,79.9068751891,2023-05-15T18:59:59.999Z,RUB1
